time,temperature
2018-7-22 14:05:38,27
2018-7-22 14:06:38,27
2018-7-22 14:07:38,28
2018-7-22 14:08:38,28
2018-7-22 14:09:38,28
2018-7-22 14:10:38,28
2018-7-22 14:11:38,28
2018-7-22 14:12:38,28
2018-7-22 14:13:38,28
2018-7-22 14:14:38,28
2018-7-22 14:15:38,28
2018-7-22 14:16:38,28
2018-7-22 14:17:38,28
2018-7-22 14:18:38,28
2018-7-22 14:19:38,28
2018-7-22 14:20:38,28
2018-7-22 14:21:38,28
2018-7-22 14:22:38,28
2018-7-22 14:23:38,28
2018-7-22 14:24:38,28
2018-7-22 14:25:38,28
2018-7-22 14:26:38,28
2018-7-22 14:27:38,28
2018-7-22 14:28:38,28
2018-7-22 14:29:38,28
2018-7-22 14:30:38,28
2018-7-22 14:31:38,28
2018-7-22 14:32:38,28
2018-7-22 14:33:38,28
2018-7-22 14:34:38,28
2018-7-22 14:35:38,28
2018-7-22 14:36:38,28
2018-7-22 14:37:38,28
2018-7-22 14:38:38,28
2018-7-22 14:39:38,28
2018-7-22 14:40:38,28
2018-7-22 14:41:38,28
2018-7-22 14:42:38,28
2018-7-22 14:43:38,28
2018-7-22 14:44:38,28
2018-7-22 14:45:38,28
2018-7-22 14:46:38,28
2018-7-22 14:47:38,28
2018-7-22 14:48:38,28
2018-7-22 14:49:38,28
2018-7-22 14:50:38,28
2018-7-22 14:51:38,28
2018-7-22 14:52:38,28
2018-7-22 14:53:38,28
2018-7-22 14:54:38,28
2018-7-22 14:55:38,28
2018-7-22 14:56:38,28
2018-7-22 14:57:38,28
2018-7-22 14:58:38,28
2018-7-22 14:59:38,28
2018-7-22 15:00:38,28
2018-7-22 15:01:38,28
2018-7-22 15:02:38,28
2018-7-22 15:03:38,28
2018-7-22 15:04:38,28
2018-7-22 15:05:38,28
2018-7-22 15:06:38,28
2018-7-22 15:07:38,28
2018-7-22 15:08:38,28
2018-7-22 15:09:38,28
2018-7-22 15:10:38,28
2018-7-22 15:11:38,28
2018-7-22 15:12:38,28
2018-7-22 15:13:38,28
2018-7-22 15:14:38,28
2018-7-22 15:15:38,28
2018-7-22 15:16:38,28
2018-7-22 15:17:38,28
2018-7-22 15:18:38,28
2018-7-22 15:19:38,28
2018-7-22 15:20:38,28
2018-7-22 15:21:38,28
2018-7-22 15:22:38,28
2018-7-22 15:23:38,28
2018-7-22 15:24:38,28
2018-7-22 15:25:38,28
2018-7-22 15:26:38,28
2018-7-22 15:27:38,28
2018-7-22 15:28:38,28
2018-7-22 15:29:38,28
2018-7-22 15:30:38,28
2018-7-22 15:31:38,28
2018-7-22 15:32:38,28
2018-7-22 15:33:38,28
2018-7-22 15:34:38,28
2018-7-22 15:35:38,28
2018-7-22 15:36:38,28
2018-7-22 15:37:38,28
2018-7-22 15:38:38,28
2018-7-22 15:39:38,28
2018-7-22 15:40:38,28
2018-7-22 15:41:38,28
2018-7-22 15:42:38,28
2018-7-22 15:43:38,28
2018-7-22 15:44:38,28
2018-7-22 15:45:38,28
2018-7-22 15:46:38,28
2018-7-22 15:47:38,28
2018-7-22 15:48:38,28
2018-7-22 15:49:38,28
2018-7-22 15:50:38,28
2018-7-22 15:51:38,28
2018-7-22 15:52:38,28
2018-7-22 15:53:38,28
2018-7-22 15:54:38,28
2018-7-22 15:55:38,28
2018-7-22 15:56:38,28
2018-7-22 15:57:38,28
2018-7-22 15:58:38,28
2018-7-22 15:59:38,28
2018-7-22 16:00:38,28
2018-7-22 16:01:38,28
2018-7-22 16:02:38,28
2018-7-22 16:03:38,28
2018-7-22 16:04:38,28
2018-7-22 16:05:38,28
2018-7-22 16:06:38,28
2018-7-22 16:07:38,28
2018-7-22 16:08:38,28
2018-7-22 16:09:38,28
2018-7-22 16:10:38,28
2018-7-22 16:11:38,28
2018-7-22 16:12:38,28
2018-7-22 16:13:38,28
2018-7-22 16:14:38,28
2018-7-22 16:15:38,28
